Model,ROC AUC Mean,ROC AUC Std,Accuracy Mean,Recall Mean,F1 Mean
Random Forest,0.7216117216117216,0.027147033930931878,0.6842105263157895,0.42857142857142855,0.4884115884115884
Logistic Regression,0.7472527472527473,0.06930728178910074,0.6947368421052632,0.6,0.5807575757575757
Gradient Boosting,0.6913919413919414,0.06391390343282143,0.6226315789473684,0.3714285714285714,0.409090909090909
Decision Tree,0.488095238095238,0.11031625248589942,0.5294736842105263,0.3428571428571428,0.3428571428571428
LDA,0.7721611721611722,0.05420564752833887,0.6942105263157894,0.6,0.5807575757575758
Naive Bayes,0.800915750915751,0.03657321600309332,0.6826315789473686,0.8571428571428571,0.6606295149638803
Neural Network,0.7152014652014651,0.026107735796638044,0.6631578947368422,0.5428571428571429,0.5331049342814048
SVM,0.738095238095238,0.04536434460256716,0.6536842105263158,0.5142857142857142,0.49428571428571433
KNN,0.6730769230769231,0.12643466169540446,0.6,0.5428571428571428,0.4980392156862745
XGBoost,0.7547619047619047,0.06350955427345505,0.6836842105263158,0.5142857142857143,0.5322344322344322
CatBoost,0.6954212454212454,0.04441760114644431,0.643157894736842,0.3714285714285714,0.4153379953379953
LGBMClassifier,0.739010989010989,0.05799241671190663,0.7042105263157894,0.5714285714285714,0.5769480519480519
