iter	Passed	Remaining
0	1	1315
1	2	1199
2	3	1152
3	4	1122
4	5	1120
5	6	1094
6	7	1082
7	8	1066
8	9	1063
9	10	1065
10	11	1055
11	12	1043
12	13	1036
13	14	1030
14	15	1028
15	16	1026
16	17	1018
17	18	1012
18	19	1013
19	20	1013
20	21	1012
21	22	1002
22	23	1001
23	24	997
24	25	992
25	26	991
26	27	990
27	28	986
28	29	984
29	30	985
30	31	984
31	32	989
32	33	985
33	34	984
34	35	979
35	36	978
36	37	981
37	38	981
38	39	978
39	40	976
40	41	976
41	42	978
42	43	978
43	45	978
44	45	975
45	46	972
46	47	968
47	48	968
48	49	968
49	50	965
50	51	965
51	53	966
52	54	967
53	55	966
54	56	965
55	57	963
56	58	961
57	59	961
58	60	961
59	61	961
60	63	970
61	64	980
62	65	979
63	66	979
64	67	978
65	69	979
66	70	980
67	71	981
68	72	980
69	73	978
70	74	977
71	75	975
72	76	973
73	77	972
74	78	972
75	79	969
76	80	968
77	81	967
78	82	966
79	84	966
80	85	965
81	86	964
82	86	961
83	87	959
84	88	957
85	89	955
86	90	953
87	91	952
88	93	952
89	93	950
90	94	948
91	95	946
92	96	944
93	97	943
94	98	940
95	99	939
96	100	936
97	101	935
98	102	932
99	103	931
100	104	929
101	105	928
102	106	926
103	107	925
104	108	924
105	109	921
106	110	919
107	111	918
108	112	916
109	113	914
110	114	913
111	114	911
112	115	909
113	116	906
114	117	904
115	118	902
116	119	901
117	120	901
118	121	899
119	122	898
120	123	897
121	124	895
122	125	894
123	126	893
124	127	891
125	128	891
126	129	889
127	130	888
128	131	887
129	132	885
130	133	884
131	134	884
132	135	883
133	136	881
134	137	880
135	138	878
136	139	877
137	140	876
138	141	875
139	142	874
140	143	872
141	144	871
142	145	869
143	145	867
144	146	866
145	147	864
146	148	863
147	149	862
148	150	860
149	151	858
150	152	857
151	153	857
152	154	855
153	155	854
154	156	853
155	157	852
156	158	851
157	159	849
158	160	847
159	161	846
160	162	845
161	163	845
162	164	844
163	165	842
164	166	841
165	167	839
166	168	839
167	169	837
168	170	835
169	170	834
170	171	832
171	172	831
172	173	829
173	174	828
174	175	826
175	176	824
176	177	823
177	178	822
178	178	820
179	179	818
180	180	817
181	181	815
182	182	813
183	183	812
184	184	810
185	184	809
186	185	807
187	186	806
188	187	805
189	188	803
190	189	801
191	190	800
192	191	798
193	191	797
194	192	796
195	193	795
196	194	793
197	195	792
198	196	791
199	197	789
200	198	788
201	199	786
202	200	785
203	200	783
204	201	781
205	202	780
206	203	778
207	204	777
208	205	776
209	206	775
210	207	774
211	207	772
212	208	771
213	209	770
214	210	769
215	211	768
216	212	767
217	213	766
218	214	764
219	215	763
220	216	762
221	217	761
222	218	760
223	219	759
224	220	758
225	221	757
226	222	756
227	223	755
228	223	754
229	225	753
230	225	752
231	226	751
232	227	750
233	228	749
234	229	748
235	230	747
236	231	746
237	232	745
238	233	744
239	235	744
240	235	743
241	236	741
242	237	740
243	238	739
244	239	738
245	240	737
246	241	736
247	242	735
248	243	734
249	244	733
250	245	732
251	246	731
252	247	730
253	248	728
254	249	728
255	250	727
256	251	726
257	252	724
258	252	723
259	253	722
260	254	721
261	256	721
262	257	720
263	257	719
264	258	718
265	259	716
266	260	716
267	261	715
268	262	714
269	263	713
270	264	712
271	265	711
272	266	710
273	267	709
274	268	708
275	269	707
276	270	706
277	271	704
278	272	703
279	273	702
280	274	701
281	275	700
282	275	699
283	276	698
284	277	697
285	278	696
286	279	695
287	280	694
288	281	693
289	282	691
290	283	690
291	284	689
292	285	688
293	286	687
294	287	686
295	288	685
296	289	684
297	289	682
298	290	681
299	291	680
300	292	679
301	293	678
302	294	677
303	295	676
304	296	675
305	297	674
306	298	673
307	299	672
308	299	670
309	300	669
310	301	668
311	302	667
312	303	666
313	304	665
314	305	664
315	306	662
316	307	661
317	308	660
318	308	659
319	309	658
320	310	657
321	311	656
322	312	655
323	313	654
324	314	653
325	315	652
326	316	650
327	317	649
328	318	648
329	318	647
330	319	646
331	320	645
332	321	644
333	322	643
334	323	642
335	324	640
336	325	639
337	326	638
338	326	637
339	327	636
340	328	634
341	329	633
342	330	632
343	331	631
344	332	630
345	332	629
346	333	628
347	334	627
348	335	625
349	336	624
350	337	623
351	338	622
352	339	621
353	339	620
354	340	618
355	341	617
356	342	616
357	343	615
358	343	614
359	344	612
360	345	611
361	346	610
362	347	609
363	348	608
364	348	607
365	349	605
366	350	604
367	351	603
368	352	602
369	352	600
370	353	599
371	354	598
372	355	597
373	356	596
374	357	595
375	357	593
376	358	592
377	359	591
378	360	590
379	361	589
380	361	588
381	362	587
382	363	586
383	364	585
384	365	583
385	366	582
386	367	581
387	367	580
388	368	579
389	369	578
390	370	577
391	371	575
392	372	574
393	373	573
394	373	572
395	374	571
396	375	570
397	376	569
398	377	568
399	378	567
400	378	566
401	379	564
402	380	563
403	381	562
404	382	561
405	383	560
406	383	559
407	384	558
408	385	557
409	386	555
410	387	554
411	387	553
412	388	552
413	389	551
414	390	550
415	391	549
416	391	548
417	392	546
418	393	545
419	394	544
420	395	543
421	396	542
422	396	541
423	397	540
424	398	539
425	399	537
426	400	536
427	400	535
428	401	534
429	402	533
430	403	532
431	404	531
432	405	530
433	405	529
434	406	528
435	407	527
436	408	526
437	409	525
438	410	524
439	411	523
440	412	522
441	412	521
442	413	520
443	414	519
444	415	518
445	416	517
446	417	516
447	418	515
448	419	514
449	419	513
450	420	512
451	421	511
452	422	510
453	423	509
454	424	508
455	425	507
456	425	505
457	426	505
458	427	503
459	428	503
460	429	501
461	430	501
462	431	499
463	431	498
464	432	497
465	433	497
466	434	496
467	435	495
468	436	494
469	437	493
470	438	492
471	439	491
472	440	490
473	441	489
474	441	488
475	442	487
476	443	486
477	444	485
478	445	484
479	446	483
480	447	482
481	448	481
482	448	480
483	449	479
484	450	478
485	451	477
486	452	476
487	453	475
488	454	474
489	455	473
490	456	472
491	457	471
492	457	470
493	458	469
494	459	468
495	460	467
496	461	466
497	461	465
498	462	464
499	463	463
500	464	462
501	465	461
502	466	461
503	467	460
504	468	459
505	469	458
506	470	457
507	471	456
508	472	455
509	472	454
510	473	453
511	474	452
512	475	451
513	476	450
514	477	449
515	478	448
516	479	447
517	480	446
518	480	445
519	481	444
520	482	443
521	483	442
522	484	441
523	485	440
524	485	439
525	486	438
526	487	437
527	488	436
528	489	435
529	490	434
530	491	434
531	492	433
532	493	432
533	494	431
534	495	430
535	495	429
536	496	428
537	497	427
538	498	426
539	499	425
540	500	424
541	501	423
542	502	422
543	502	421
544	503	420
545	504	419
546	505	418
547	506	417
548	507	416
549	508	415
550	509	414
551	509	413
552	510	412
553	511	411
554	512	410
555	513	409
556	514	408
557	514	407
558	515	406
559	516	405
560	517	404
561	518	403
562	518	402
563	519	401
564	520	400
565	521	399
566	522	398
567	523	397
568	524	396
569	524	395
570	525	394
571	526	393
572	527	393
573	528	392
574	528	390
575	529	389
576	530	388
577	531	387
578	532	387
579	533	385
580	533	384
581	534	384
582	535	383
583	536	382
584	537	381
585	538	380
586	539	379
587	539	378
588	540	377
589	541	376
590	542	375
591	543	374
592	544	373
593	545	372
594	545	371
595	546	370
596	547	369
597	548	368
598	549	367
599	549	366
600	550	365
601	551	364
602	552	363
603	553	362
604	554	361
605	554	360
606	555	359
607	556	358
608	557	357
609	558	356
610	558	355
611	559	354
612	560	353
613	561	352
614	562	351
615	562	350
616	563	350
617	564	349
618	565	348
619	566	347
620	567	346
621	568	345
622	569	344
623	569	343
624	570	342
625	571	341
626	572	340
627	573	339
628	574	338
629	574	337
630	575	336
631	576	335
632	577	334
633	578	333
634	579	332
635	580	331
636	580	331
637	581	330
638	582	329
639	583	328
640	584	327
641	585	326
642	585	325
643	586	324
644	587	323
645	588	322
646	589	321
647	590	320
648	590	319
649	591	318
650	592	317
651	593	316
652	594	315
653	595	314
654	595	313
655	596	312
656	597	312
657	598	311
658	599	310
659	600	309
660	601	308
661	602	307
662	602	306
663	603	305
664	604	304
665	605	303
666	606	302
667	607	301
668	608	300
669	609	300
670	610	299
671	611	298
672	611	297
673	612	296
674	613	295
675	614	294
676	615	293
677	616	292
678	617	291
679	618	290
680	619	290
681	620	289
682	620	288
683	621	287
684	622	286
685	623	285
686	624	284
687	625	283
688	626	282
689	627	281
690	627	280
691	628	279
692	629	278
693	630	277
694	631	277
695	632	276
696	632	275
697	633	274
698	634	273
699	635	272
700	636	271
