iter	Passed	Remaining
0	151	151710
1	154	77100
2	157	52406
3	160	40060
4	163	32586
5	166	27546
6	168	23966
7	171	21262
8	173	19150
9	176	17467
10	179	16119
11	181	14979
12	184	13991
13	186	13144
14	189	12414
15	191	11772
16	193	11206
17	196	10698
18	198	10243
19	200	9833
20	203	9468
21	205	9136
22	207	8829
23	210	8547
24	212	8285
25	214	8045
26	217	7823
27	219	7617
28	222	7436
29	224	7259
30	226	7090
31	229	6934
32	231	6788
33	234	6651
34	236	6521
35	239	6403
36	241	6288
37	245	6206
38	247	6099
39	250	6001
40	252	5906
41	254	5813
42	257	5733
43	260	5651
44	262	5572
45	265	5497
46	267	5432
47	270	5362
48	272	5294
49	275	5228
50	277	5162
51	279	5102
52	282	5043
53	284	4987
54	287	4934
55	289	4880
56	291	4830
57	294	4779
58	296	4733
59	299	4687
60	301	4642
61	303	4598
62	306	4555
63	308	4516
64	311	4478
65	313	4442
66	316	4405
67	318	4369
68	321	4336
69	323	4300
70	326	4269
71	328	4236
72	331	4204
73	333	4175
74	336	4145
75	338	4116
76	341	4087
77	343	4063
78	346	4036
79	348	4009
80	351	3984
81	353	3958
82	356	3936
83	358	3913
84	361	3889
85	363	3865
86	366	3842
87	370	3837
88	373	3820
89	376	3803
90	378	3784
91	381	3764
92	384	3747
93	386	3728
94	389	3713
95	392	3695
96	395	3679
97	397	3661
98	400	3645
99	403	3630
100	406	3613
101	408	3598
102	411	3581
103	414	3567
104	416	3552
105	419	3538
106	422	3523
107	424	3508
108	427	3494
109	430	3479
110	432	3465
111	435	3453
112	438	3440
113	440	3425
114	443	3411
115	445	3397
116	448	3385
117	451	3371
118	453	3359
119	456	3345
120	458	3333
121	461	3321
122	464	3309
123	466	3298
124	470	3293
125	473	3282
126	475	3268
127	477	3256
128	480	3243
129	482	3231
130	485	3220
131	487	3208
132	490	3199
133	493	3187
134	495	3176
135	498	3165
136	500	3153
137	503	3142
138	505	3132
139	508	3121
140	510	3110
141	512	3099
142	515	3089
143	517	3078
144	520	3067
145	522	3056
146	525	3046
147	527	3037
148	530	3028
149	532	3018
150	535	3008
151	537	2998
152	539	2988
153	542	2979
154	544	2969
155	547	2959
156	549	2950
157	551	2941
158	554	2932
159	556	2923
160	559	2913
161	561	2905
162	564	2896
163	566	2887
164	568	2878
165	571	2870
166	573	2861
167	576	2853
168	579	2850
169	582	2842
170	584	2835
171	587	2828
172	590	2820
173	592	2811
174	594	2804
175	597	2796
176	599	2789
177	602	2783
178	605	2776
179	607	2768
180	610	2760
181	612	2752
182	614	2745
183	617	2738
184	619	2730
185	622	2723
186	624	2715
187	627	2708
188	629	2701
189	631	2694
190	634	2687
191	636	2680
192	639	2672
193	641	2665
194	644	2658
195	646	2651
196	648	2645
197	651	2637
198	653	2631
199	656	2624
200	658	2618
201	661	2611
202	663	2604
203	665	2597
204	668	2590
205	670	2584
206	672	2577
207	675	2571
