iter	Logloss
0	0.6904411253
1	0.688726444
2	0.6849359494
3	0.6832196242
4	0.6813825087
5	0.6783190025
6	0.6751479601
7	0.6731000982
8	0.6714509286
9	0.6698011976
10	0.6679250598
11	0.6655250631
12	0.6629585749
13	0.6601941523
14	0.6583690894
15	0.65676601
16	0.6548259509
17	0.650862562
18	0.6490607513
19	0.6471613332
20	0.6451546456
21	0.6430023407
22	0.6410478197
23	0.6391080304
24	0.6368310514
25	0.6348261488
26	0.6332917339
27	0.630906698
28	0.6283169671
29	0.6260061484
30	0.6239795779
31	0.6217957421
32	0.6202845417
33	0.6188889303
34	0.6166172435
35	0.614971942
36	0.6138930227
37	0.6125737711
38	0.611018435
39	0.6098929706
40	0.6083923233
41	0.6066900398
42	0.6052521624
43	0.6028511963
44	0.6003091084
45	0.5981064188
46	0.5960314274
47	0.5943745688
48	0.5921866925
49	0.5907522942
50	0.5893497655
51	0.5872162424
52	0.5856012357
53	0.5837163706
54	0.5817674681
55	0.5802188422
56	0.5786879282
57	0.5767397065
58	0.5740874943
59	0.571456859
60	0.569952306
61	0.5682053911
62	0.5669392881
63	0.5653617602
64	0.5626662217
65	0.5612376897
66	0.5597451957
67	0.5580777118
68	0.5548887284
69	0.5532998913
70	0.551913343
71	0.5507474102
72	0.5490747659
73	0.5474198492
74	0.5458994037
75	0.5441381586
76	0.5418025443
77	0.5407270256
78	0.5388531434
79	0.5376713762
80	0.5359852094
81	0.5345118422
82	0.5332766677
83	0.5315724658
84	0.5302945438
85	0.5284708864
86	0.5269768426
87	0.525339547
88	0.5232925682
89	0.5208273467
90	0.519254457
91	0.517868751
92	0.5161950165
93	0.5145395414
94	0.5137393851
95	0.512801197
96	0.5109975918
97	0.5097087684
98	0.5085024332
99	0.5072247982
