iter	Passed	Remaining
0	145	14434
1	146	7166
2	146	4735
3	146	3523
4	147	2794
5	147	2305
6	147	1958
7	147	1697
8	147	1495
9	148	1333
10	148	1200
11	148	1089
12	148	995
13	148	914
14	149	845
15	149	784
16	149	730
17	149	682
18	150	639
19	150	601
20	150	566
21	150	535
22	151	506
23	151	479
24	151	455
25	151	432
26	152	411
27	152	392
28	152	373
29	152	356
30	152	340
31	153	325
32	153	311
33	153	298
34	153	285
35	154	273
36	154	262
37	154	252
38	154	242
39	155	232
40	155	223
41	155	215
42	156	206
43	156	198
44	156	191
45	156	184
46	157	177
47	157	170
48	157	163
49	157	157
50	158	151
51	158	146
52	158	140
53	158	135
54	159	130
55	159	125
56	159	120
57	159	115
58	160	111
59	160	106
60	160	102
61	160	98
62	161	94
63	161	90
64	161	86
65	161	83
66	161	79
67	162	76
68	162	72
69	162	69
70	162	66
71	163	63
72	163	60
73	163	57
74	163	54
75	164	51
76	164	49
77	164	46
78	164	43
79	165	41
80	165	38
81	165	36
82	165	33
83	165	31
84	166	29
85	166	27
86	166	24
87	166	22
88	167	20
89	167	18
90	167	16
91	167	14
92	168	12
93	168	10
94	168	8
95	168	7
96	169	5
97	169	3
98	169	1
99	169	0
